PRODUCTO,ETAPA,AVANCE
"EXTEN MET POSTE 11,5 CGEI1,15 MT                                 ",CORTAR,1905
CRUCETA L GV TIPO COPELEC65 x 65 x 6 x 2400                      ,CORTAR,1905
CRUCETA L GV COPELEC     80 x 80 x 8 x 1800                      ,PERFORAR,0
CRUCETA L GV TIPO COPELEC65 x 65 x 6 x 2400                      ,PERFORAR,0
ENSAMBLAJE 18   SE MONTERRICO 80x80x6,CORTAR,1905
ENSAMBLAJE 19   SE MONTERRICO 80x80x6,CORTAR,1905
ENSAMBLAJE 20   SE MONTERRICO 50x50x6,CORTAR,1905
ENSAMBLAJE  21    SE MONTERRICO 65x65x6,CORTAR,1905
ENSAMBLAJE  22    SE MONTERRICO 65x65x6,CORTAR,1905
ENSAMBLAJE  23    SE MONTERRICO 65x65x6,CORTAR,1905
VIGUETA ESPECIAL GV PORTA REGULADORES 100X10,CORTAR,1905
L 80x80x8x2363   DA8-01  TRANS POTENCIAL,CORTAR,1905
PL 86x99x8  PL1  TRANS POTENCIAL,CORTAR,1905
PL 86x86x8   PL2     TRANS POTENCIAL,CORTAR,1905
L 65x65x6x2118    DA8-10   TRANS POTENCIAL,CORTAR,1905
L 65x65x6x1850    DA8-11    TRANS POTENCIAL,CORTAR,1905
BARRETILLA PUNZADORA NG   PLN SEY-86362-4   ,CORTAR,1905
"PICADOR 70"" PLN MF001    IT.26 REV1(1413052)                     ",CORTAR,1905
BARRETILLA PUNZADORA NG   PLN SEY-86362-4   ,ESTAC1,0
"PICADOR 70"" PLN MF001    IT.26 REV1(1413052)                     ",ESTAC1,0
BARRETILLA PUNZADORA NG   PLN SEY-86362-4   ,ESTAC2,0
"PICADOR 70"" PLN MF001    IT.26 REV1(1413052)                     ",ESTAC2,0
BARRETILLA PUNZADORA NG   PLN SEY-86362-4   ,REBARP,1996
"PICADOR 70"" PLN MF001    IT.26 REV1(1413052)                     ",REBARP,1996
BARRETILLA PUNZADORA NG   PLN SEY-86362-4   ,ESMERIL,0
"PICADOR 70"" PLN MF001    IT.26 REV1(1413052)                     ",ESMERIL,0
"C/S CONSOLDA 4 PARRON      13,8 KV",SOLDAR,35
"C/S CONSOLDA 5 PARRON      13,8 KV",SOLDAR,35
"C/S CONSOLDA 6 PARRON      13,8 KV",SOLDAR,35
"C/S CONSOLDA 4 PARRON      13,8 KV",SOLDAR,35
"C/S CONSOLDA 4 PARRON      13,8 KV",SOLDAR,35
